,ID,Age,toy_type,value
214,43,24,med-heavy,0
215,45,24,med-heavy,0
216,5,12,large-light,0
217,11,12,large-light,0
218,12,12,large-light,0
219,13,12,large-light,0
220,17,12,large-light,0
221,18,12,large-light,0
222,19,12,large-light,0
223,21,12,large-light,1
224,22,12,large-light,0
225,24,12,large-light,0
226,25,12,large-light,0
227,29,12,large-light,0
228,30,12,large-light,0
229,31,12,large-light,0
230,32,12,large-light,0
231,34,12,large-light,0
232,2,24,large-light,0
233,3,24,large-light,0
234,9,24,large-light,1
235,10,24,large-light,0
236,11,24,large-light,0
237,12,24,large-light,0
238,13,24,large-light,0
239,15,24,large-light,0
240,16,24,large-light,0
241,24,24,large-light,0
242,30,24,large-light,0
243,31,24,large-light,0
244,32,24,large-light,0
245,34,24,large-light,0
246,37,24,large-light,1
247,38,24,large-light,1
248,40,24,large-light,0
249,42,24,large-light,0
250,43,24,large-light,1
251,45,24,large-light,0
252,5,12,large-mod,0
253,11,12,large-mod,0
254,12,12,large-mod,0
255,13,12,large-mod,1
256,17,12,large-mod,0
257,18,12,large-mod,0
258,19,12,large-mod,0
259,21,12,large-mod,0
260,22,12,large-mod,0
261,24,12,large-mod,0
262,25,12,large-mod,1
263,29,12,large-mod,0
264,30,12,large-mod,0
265,31,12,large-mod,0
266,32,12,large-mod,1
267,34,12,large-mod,0
268,2,24,large-mod,1
269,3,24,large-mod,0
270,9,24,large-mod,0
271,10,24,large-mod,0
272,11,24,large-mod,0
273,12,24,large-mod,0
274,13,24,large-mod,0
275,15,24,large-mod,0
276,16,24,large-mod,0
277,24,24,large-mod,0
278,30,24,large-mod,0
279,31,24,large-mod,0
280,32,24,large-mod,1
281,34,24,large-mod,0
282,37,24,large-mod,0
283,38,24,large-mod,0
284,40,24,large-mod,0
285,42,24,large-mod,0
286,43,24,large-mod,1
287,45,24,large-mod,1
288,5,12,large-heavy,1
289,11,12,large-heavy,0
290,12,12,large-heavy,0
291,13,12,large-heavy,0
292,17,12,large-heavy,0
293,18,12,large-heavy,0
294,19,12,large-heavy,1
295,21,12,large-heavy,0
296,22,12,large-heavy,0
297,24,12,large-heavy,0
298,25,12,large-heavy,0
299,29,12,large-heavy,0
300,30,12,large-heavy,1
301,31,12,large-heavy,0
302,32,12,large-heavy,1
303,34,12,large-heavy,0
304,2,24,large-heavy,1
305,3,24,large-heavy,0
306,9,24,large-heavy,0
307,10,24,large-heavy,0
308,11,24,large-heavy,0
309,12,24,large-heavy,2
310,13,24,large-heavy,0
311,15,24,large-heavy,1
312,16,24,large-heavy,1
313,24,24,large-heavy,1
314,30,24,large-heavy,2
315,31,24,large-heavy,0
316,32,24,large-heavy,0
317,34,24,large-heavy,0
318,37,24,large-heavy,0
319,38,24,large-heavy,0
320,40,24,large-heavy,1
321,42,24,large-heavy,0
322,43,24,large-heavy,0
323,45,24,large-heavy,0
