uniqueSubjects,variable,value,Age,Id,Positon,Size,Weight
24_38,stand_small_moderate,0,24,38,stand,small,moderate
24_40,stand_small_moderate,0,24,40,stand,small,moderate
24_42,stand_small_moderate,1,24,42,stand,small,moderate
24_43,stand_small_moderate,0,24,43,stand,small,moderate
24_44,stand_small_moderate,0,24,44,stand,small,moderate
24_45,stand_small_moderate,0,24,45,stand,small,moderate
24_46,stand_small_moderate,0,24,46,stand,small,moderate
24_51,stand_small_moderate,1,24,51,stand,small,moderate
12_01,stand_small_heavy,0,12,1,stand,small,heavy
12_02,stand_small_heavy,0,12,2,stand,small,heavy
12_03,stand_small_heavy,0,12,3,stand,small,heavy
12_05,stand_small_heavy,0,12,5,stand,small,heavy
12_07,stand_small_heavy,0,12,7,stand,small,heavy
12_08,stand_small_heavy,0,12,8,stand,small,heavy
12_09,stand_small_heavy,0,12,9,stand,small,heavy
12_10,stand_small_heavy,0,12,10,stand,small,heavy
12_11,stand_small_heavy,0,12,11,stand,small,heavy
12_12,stand_small_heavy,0,12,12,stand,small,heavy
12_13,stand_small_heavy,0,12,13,stand,small,heavy
12_14,stand_small_heavy,1,12,14,stand,small,heavy
12_15,stand_small_heavy,0,12,15,stand,small,heavy
12_16,stand_small_heavy,0,12,16,stand,small,heavy
12_17,stand_small_heavy,0,12,17,stand,small,heavy
12_18,stand_small_heavy,0,12,18,stand,small,heavy
12_20,stand_small_heavy,0,12,20,stand,small,heavy
12_21,stand_small_heavy,0,12,21,stand,small,heavy
12_22,stand_small_heavy,0,12,22,stand,small,heavy
12_23,stand_small_heavy,0,12,23,stand,small,heavy
12_25,stand_small_heavy,0,12,25,stand,small,heavy
12_26,stand_small_heavy,0,12,26,stand,small,heavy
12_27,stand_small_heavy,0,12,27,stand,small,heavy
12_29,stand_small_heavy,0,12,29,stand,small,heavy
12_30,stand_small_heavy,0,12,30,stand,small,heavy
12_31,stand_small_heavy,0,12,31,stand,small,heavy
12_32,stand_small_heavy,0,12,32,stand,small,heavy
12_33,stand_small_heavy,0,12,33,stand,small,heavy
12_34,stand_small_heavy,0,12,34,stand,small,heavy
12_35,stand_small_heavy,0,12,35,stand,small,heavy
12_36,stand_small_heavy,0,12,36,stand,small,heavy
12_37,stand_small_heavy,0,12,37,stand,small,heavy
12_38,stand_small_heavy,0,12,38,stand,small,heavy
12_39,stand_small_heavy,0,12,39,stand,small,heavy
24_01,stand_small_heavy,0,24,1,stand,small,heavy
24_02,stand_small_heavy,0,24,2,stand,small,heavy
24_04,stand_small_heavy,0,24,4,stand,small,heavy
24_05,stand_small_heavy,0,24,5,stand,small,heavy
24_07,stand_small_heavy,0,24,7,stand,small,heavy
24_09,stand_small_heavy,0,24,9,stand,small,heavy
24_10,stand_small_heavy,0,24,10,stand,small,heavy
24_11,stand_small_heavy,0,24,11,stand,small,heavy
24_12,stand_small_heavy,0,24,12,stand,small,heavy
24_13,stand_small_heavy,0,24,13,stand,small,heavy
24_14,stand_small_heavy,0,24,14,stand,small,heavy
24_16,stand_small_heavy,0,24,16,stand,small,heavy
24_17,stand_small_heavy,0,24,17,stand,small,heavy
24_18,stand_small_heavy,0,24,18,stand,small,heavy
24_23,stand_small_heavy,0,24,23,stand,small,heavy
24_24,stand_small_heavy,0,24,24,stand,small,heavy
24_27,stand_small_heavy,0,24,27,stand,small,heavy
24_29,stand_small_heavy,0,24,29,stand,small,heavy
24_30,stand_small_heavy,0,24,30,stand,small,heavy
24_31,stand_small_heavy,0,24,31,stand,small,heavy
24_32,stand_small_heavy,0,24,32,stand,small,heavy
24_34,stand_small_heavy,0,24,34,stand,small,heavy
24_37,stand_small_heavy,0,24,37,stand,small,heavy
24_38,stand_small_heavy,0,24,38,stand,small,heavy
24_40,stand_small_heavy,0,24,40,stand,small,heavy
24_42,stand_small_heavy,0,24,42,stand,small,heavy
24_43,stand_small_heavy,0,24,43,stand,small,heavy
24_44,stand_small_heavy,0,24,44,stand,small,heavy
24_45,stand_small_heavy,0,24,45,stand,small,heavy
24_46,stand_small_heavy,0,24,46,stand,small,heavy
24_51,stand_small_heavy,0,24,51,stand,small,heavy
12_01,stand_medium_light,0,12,1,stand,medium,light
12_02,stand_medium_light,0,12,2,stand,medium,light
12_03,stand_medium_light,0,12,3,stand,medium,light
12_05,stand_medium_light,0,12,5,stand,medium,light
12_07,stand_medium_light,1,12,7,stand,medium,light
12_08,stand_medium_light,0,12,8,stand,medium,light
12_09,stand_medium_light,0,12,9,stand,medium,light
12_10,stand_medium_light,0,12,10,stand,medium,light
12_11,stand_medium_light,0,12,11,stand,medium,light
12_12,stand_medium_light,0,12,12,stand,medium,light
12_13,stand_medium_light,0,12,13,stand,medium,light
12_14,stand_medium_light,1,12,14,stand,medium,light
12_15,stand_medium_light,0,12,15,stand,medium,light
12_16,stand_medium_light,0,12,16,stand,medium,light
12_17,stand_medium_light,0,12,17,stand,medium,light
12_18,stand_medium_light,0,12,18,stand,medium,light
12_20,stand_medium_light,0,12,20,stand,medium,light
12_21,stand_medium_light,0,12,21,stand,medium,light
12_22,stand_medium_light,1,12,22,stand,medium,light
12_23,stand_medium_light,0,12,23,stand,medium,light
12_25,stand_medium_light,0,12,25,stand,medium,light
12_26,stand_medium_light,0,12,26,stand,medium,light
12_27,stand_medium_light,0,12,27,stand,medium,light
12_29,stand_medium_light,0,12,29,stand,medium,light
12_30,stand_medium_light,0,12,30,stand,medium,light
12_31,stand_medium_light,0,12,31,stand,medium,light
12_32,stand_medium_light,0,12,32,stand,medium,light
12_33,stand_medium_light,0,12,33,stand,medium,light
12_34,stand_medium_light,0,12,34,stand,medium,light
12_35,stand_medium_light,0,12,35,stand,medium,light
12_36,stand_medium_light,0,12,36,stand,medium,light
12_37,stand_medium_light,0,12,37,stand,medium,light
12_38,stand_medium_light,0,12,38,stand,medium,light
12_39,stand_medium_light,0,12,39,stand,medium,light
24_01,stand_medium_light,1,24,1,stand,medium,light
24_02,stand_medium_light,0,24,2,stand,medium,light
24_04,stand_medium_light,0,24,4,stand,medium,light
24_05,stand_medium_light,0,24,5,stand,medium,light
24_07,stand_medium_light,0,24,7,stand,medium,light
24_09,stand_medium_light,2,24,9,stand,medium,light
24_10,stand_medium_light,0,24,10,stand,medium,light
24_11,stand_medium_light,0,24,11,stand,medium,light
24_12,stand_medium_light,0,24,12,stand,medium,light
24_13,stand_medium_light,0,24,13,stand,medium,light
24_14,stand_medium_light,2,24,14,stand,medium,light
24_16,stand_medium_light,0,24,16,stand,medium,light
24_17,stand_medium_light,1,24,17,stand,medium,light
24_18,stand_medium_light,0,24,18,stand,medium,light
24_23,stand_medium_light,0,24,23,stand,medium,light
24_24,stand_medium_light,0,24,24,stand,medium,light
24_27,stand_medium_light,0,24,27,stand,medium,light
24_29,stand_medium_light,0,24,29,stand,medium,light
24_30,stand_medium_light,0,24,30,stand,medium,light
24_31,stand_medium_light,10,24,31,stand,medium,light
24_32,stand_medium_light,0,24,32,stand,medium,light
24_34,stand_medium_light,3,24,34,stand,medium,light
24_37,stand_medium_light,0,24,37,stand,medium,light
24_38,stand_medium_light,0,24,38,stand,medium,light
24_40,stand_medium_light,0,24,40,stand,medium,light
24_42,stand_medium_light,1,24,42,stand,medium,light
24_43,stand_medium_light,0,24,43,stand,medium,light
24_44,stand_medium_light,2,24,44,stand,medium,light
24_45,stand_medium_light,0,24,45,stand,medium,light
24_46,stand_medium_light,0,24,46,stand,medium,light
24_51,stand_medium_light,0,24,51,stand,medium,light
12_01,stand_medium_moderate,0,12,1,stand,medium,moderate
12_02,stand_medium_moderate,0,12,2,stand,medium,moderate
12_03,stand_medium_moderate,0,12,3,stand,medium,moderate
12_05,stand_medium_moderate,0,12,5,stand,medium,moderate
12_07,stand_medium_moderate,0,12,7,stand,medium,moderate
12_08,stand_medium_moderate,0,12,8,stand,medium,moderate
12_09,stand_medium_moderate,0,12,9,stand,medium,moderate
12_10,stand_medium_moderate,0,12,10,stand,medium,moderate
12_11,stand_medium_moderate,0,12,11,stand,medium,moderate
12_12,stand_medium_moderate,0,12,12,stand,medium,moderate
12_13,stand_medium_moderate,0,12,13,stand,medium,moderate
12_14,stand_medium_moderate,0,12,14,stand,medium,moderate
12_15,stand_medium_moderate,0,12,15,stand,medium,moderate
12_16,stand_medium_moderate,0,12,16,stand,medium,moderate
12_17,stand_medium_moderate,0,12,17,stand,medium,moderate
12_18,stand_medium_moderate,0,12,18,stand,medium,moderate
12_20,stand_medium_moderate,0,12,20,stand,medium,moderate
12_21,stand_medium_moderate,0,12,21,stand,medium,moderate
12_22,stand_medium_moderate,0,12,22,stand,medium,moderate
12_23,stand_medium_moderate,0,12,23,stand,medium,moderate
12_25,stand_medium_moderate,0,12,25,stand,medium,moderate
12_26,stand_medium_moderate,0,12,26,stand,medium,moderate
12_27,stand_medium_moderate,0,12,27,stand,medium,moderate
12_29,stand_medium_moderate,0,12,29,stand,medium,moderate
12_30,stand_medium_moderate,0,12,30,stand,medium,moderate
12_31,stand_medium_moderate,0,12,31,stand,medium,moderate
12_32,stand_medium_moderate,0,12,32,stand,medium,moderate
12_33,stand_medium_moderate,0,12,33,stand,medium,moderate
12_34,stand_medium_moderate,0,12,34,stand,medium,moderate
12_35,stand_medium_moderate,0,12,35,stand,medium,moderate
12_36,stand_medium_moderate,0,12,36,stand,medium,moderate
12_37,stand_medium_moderate,0,12,37,stand,medium,moderate
12_38,stand_medium_moderate,0,12,38,stand,medium,moderate
12_39,stand_medium_moderate,0,12,39,stand,medium,moderate
24_01,stand_medium_moderate,0,24,1,stand,medium,moderate
24_02,stand_medium_moderate,0,24,2,stand,medium,moderate
24_04,stand_medium_moderate,0,24,4,stand,medium,moderate
24_05,stand_medium_moderate,0,24,5,stand,medium,moderate
24_07,stand_medium_moderate,0,24,7,stand,medium,moderate
24_09,stand_medium_moderate,0,24,9,stand,medium,moderate
24_10,stand_medium_moderate,0,24,10,stand,medium,moderate
24_11,stand_medium_moderate,0,24,11,stand,medium,moderate
24_12,stand_medium_moderate,0,24,12,stand,medium,moderate
24_13,stand_medium_moderate,0,24,13,stand,medium,moderate
24_14,stand_medium_moderate,0,24,14,stand,medium,moderate
24_16,stand_medium_moderate,0,24,16,stand,medium,moderate
24_17,stand_medium_moderate,0,24,17,stand,medium,moderate
24_18,stand_medium_moderate,0,24,18,stand,medium,moderate
24_23,stand_medium_moderate,0,24,23,stand,medium,moderate
24_24,stand_medium_moderate,0,24,24,stand,medium,moderate
24_27,stand_medium_moderate,0,24,27,stand,medium,moderate
24_29,stand_medium_moderate,0,24,29,stand,medium,moderate
24_30,stand_medium_moderate,1,24,30,stand,medium,moderate
24_31,stand_medium_moderate,0,24,31,stand,medium,moderate
24_32,stand_medium_moderate,0,24,32,stand,medium,moderate
24_34,stand_medium_moderate,0,24,34,stand,medium,moderate
24_37,stand_medium_moderate,0,24,37,stand,medium,moderate
24_38,stand_medium_moderate,0,24,38,stand,medium,moderate
24_40,stand_medium_moderate,1,24,40,stand,medium,moderate
24_42,stand_medium_moderate,0,24,42,stand,medium,moderate
24_43,stand_medium_moderate,0,24,43,stand,medium,moderate
24_44,stand_medium_moderate,0,24,44,stand,medium,moderate
24_45,stand_medium_moderate,0,24,45,stand,medium,moderate
24_46,stand_medium_moderate,1,24,46,stand,medium,moderate
24_51,stand_medium_moderate,0,24,51,stand,medium,moderate
12_01,stand_medium_heavy,0,12,1,stand,medium,heavy
12_02,stand_medium_heavy,0,12,2,stand,medium,heavy
12_03,stand_medium_heavy,0,12,3,stand,medium,heavy
12_05,stand_medium_heavy,0,12,5,stand,medium,heavy
12_07,stand_medium_heavy,0,12,7,stand,medium,heavy
12_08,stand_medium_heavy,0,12,8,stand,medium,heavy
12_09,stand_medium_heavy,0,12,9,stand,medium,heavy
12_10,stand_medium_heavy,0,12,10,stand,medium,heavy
12_11,stand_medium_heavy,0,12,11,stand,medium,heavy
12_12,stand_medium_heavy,0,12,12,stand,medium,heavy
12_13,stand_medium_heavy,0,12,13,stand,medium,heavy
12_14,stand_medium_heavy,0,12,14,stand,medium,heavy
12_15,stand_medium_heavy,0,12,15,stand,medium,heavy
12_16,stand_medium_heavy,0,12,16,stand,medium,heavy
12_17,stand_medium_heavy,0,12,17,stand,medium,heavy
12_18,stand_medium_heavy,0,12,18,stand,medium,heavy
12_20,stand_medium_heavy,0,12,20,stand,medium,heavy
12_21,stand_medium_heavy,0,12,21,stand,medium,heavy
12_22,stand_medium_heavy,0,12,22,stand,medium,heavy
12_23,stand_medium_heavy,0,12,23,stand,medium,heavy
12_25,stand_medium_heavy,0,12,25,stand,medium,heavy
12_26,stand_medium_heavy,0,12,26,stand,medium,heavy
12_27,stand_medium_heavy,0,12,27,stand,medium,heavy
12_29,stand_medium_heavy,0,12,29,stand,medium,heavy
12_30,stand_medium_heavy,0,12,30,stand,medium,heavy
12_31,stand_medium_heavy,0,12,31,stand,medium,heavy
12_32,stand_medium_heavy,0,12,32,stand,medium,heavy
12_33,stand_medium_heavy,0,12,33,stand,medium,heavy
12_34,stand_medium_heavy,0,12,34,stand,medium,heavy
12_35,stand_medium_heavy,0,12,35,stand,medium,heavy
12_36,stand_medium_heavy,0,12,36,stand,medium,heavy
12_37,stand_medium_heavy,0,12,37,stand,medium,heavy
12_38,stand_medium_heavy,0,12,38,stand,medium,heavy
12_39,stand_medium_heavy,0,12,39,stand,medium,heavy
24_01,stand_medium_heavy,0,24,1,stand,medium,heavy
24_02,stand_medium_heavy,0,24,2,stand,medium,heavy
24_04,stand_medium_heavy,0,24,4,stand,medium,heavy
24_05,stand_medium_heavy,0,24,5,stand,medium,heavy
24_07,stand_medium_heavy,0,24,7,stand,medium,heavy
24_09,stand_medium_heavy,0,24,9,stand,medium,heavy
24_10,stand_medium_heavy,0,24,10,stand,medium,heavy
24_11,stand_medium_heavy,0,24,11,stand,medium,heavy
24_12,stand_medium_heavy,0,24,12,stand,medium,heavy
24_13,stand_medium_heavy,0,24,13,stand,medium,heavy
24_14,stand_medium_heavy,0,24,14,stand,medium,heavy
24_16,stand_medium_heavy,0,24,16,stand,medium,heavy
24_17,stand_medium_heavy,0,24,17,stand,medium,heavy
24_18,stand_medium_heavy,0,24,18,stand,medium,heavy
24_23,stand_medium_heavy,0,24,23,stand,medium,heavy
24_24,stand_medium_heavy,0,24,24,stand,medium,heavy
24_27,stand_medium_heavy,0,24,27,stand,medium,heavy
24_29,stand_medium_heavy,0,24,29,stand,medium,heavy
24_30,stand_medium_heavy,0,24,30,stand,medium,heavy
24_31,stand_medium_heavy,0,24,31,stand,medium,heavy
24_32,stand_medium_heavy,0,24,32,stand,medium,heavy
24_34,stand_medium_heavy,0,24,34,stand,medium,heavy
24_37,stand_medium_heavy,0,24,37,stand,medium,heavy
24_38,stand_medium_heavy,0,24,38,stand,medium,heavy
24_40,stand_medium_heavy,0,24,40,stand,medium,heavy
24_42,stand_medium_heavy,0,24,42,stand,medium,heavy
24_43,stand_medium_heavy,0,24,43,stand,medium,heavy
24_44,stand_medium_heavy,0,24,44,stand,medium,heavy
24_45,stand_medium_heavy,0,24,45,stand,medium,heavy
24_46,stand_medium_heavy,0,24,46,stand,medium,heavy
24_51,stand_medium_heavy,0,24,51,stand,medium,heavy
12_01,stand_large_light,0,12,1,stand,large,light
12_02,stand_large_light,0,12,2,stand,large,light
12_03,stand_large_light,0,12,3,stand,large,light
12_05,stand_large_light,0,12,5,stand,large,light
12_07,stand_large_light,0,12,7,stand,large,light
12_08,stand_large_light,0,12,8,stand,large,light
12_09,stand_large_light,0,12,9,stand,large,light
12_10,stand_large_light,0,12,10,stand,large,light
12_11,stand_large_light,0,12,11,stand,large,light
12_12,stand_large_light,0,12,12,stand,large,light
12_13,stand_large_light,0,12,13,stand,large,light
12_14,stand_large_light,0,12,14,stand,large,light
12_15,stand_large_light,0,12,15,stand,large,light
12_16,stand_large_light,0,12,16,stand,large,light
12_17,stand_large_light,0,12,17,stand,large,light
12_18,stand_large_light,0,12,18,stand,large,light
12_20,stand_large_light,0,12,20,stand,large,light
12_21,stand_large_light,0,12,21,stand,large,light
12_22,stand_large_light,0,12,22,stand,large,light
12_23,stand_large_light,0,12,23,stand,large,light
12_25,stand_large_light,0,12,25,stand,large,light
12_26,stand_large_light,0,12,26,stand,large,light
12_27,stand_large_light,0,12,27,stand,large,light
12_29,stand_large_light,0,12,29,stand,large,light
12_30,stand_large_light,0,12,30,stand,large,light
12_31,stand_large_light,0,12,31,stand,large,light
12_32,stand_large_light,0,12,32,stand,large,light
12_33,stand_large_light,0,12,33,stand,large,light
12_34,stand_large_light,0,12,34,stand,large,light
12_35,stand_large_light,1,12,35,stand,large,light
12_36,stand_large_light,2,12,36,stand,large,light
12_37,stand_large_light,0,12,37,stand,large,light
12_38,stand_large_light,0,12,38,stand,large,light
12_39,stand_large_light,0,12,39,stand,large,light
24_01,stand_large_light,0,24,1,stand,large,light
24_02,stand_large_light,0,24,2,stand,large,light
24_04,stand_large_light,0,24,4,stand,large,light
24_05,stand_large_light,0,24,5,stand,large,light
24_07,stand_large_light,0,24,7,stand,large,light
24_09,stand_large_light,0,24,9,stand,large,light
24_10,stand_large_light,0,24,10,stand,large,light
24_11,stand_large_light,0,24,11,stand,large,light
24_12,stand_large_light,0,24,12,stand,large,light
24_13,stand_large_light,0,24,13,stand,large,light
24_14,stand_large_light,0,24,14,stand,large,light
24_16,stand_large_light,0,24,16,stand,large,light
24_17,stand_large_light,0,24,17,stand,large,light
24_18,stand_large_light,0,24,18,stand,large,light
24_23,stand_large_light,0,24,23,stand,large,light
24_24,stand_large_light,0,24,24,stand,large,light
24_27,stand_large_light,0,24,27,stand,large,light
24_29,stand_large_light,0,24,29,stand,large,light
24_30,stand_large_light,0,24,30,stand,large,light
24_31,stand_large_light,0,24,31,stand,large,light
24_32,stand_large_light,0,24,32,stand,large,light
24_34,stand_large_light,0,24,34,stand,large,light
24_37,stand_large_light,0,24,37,stand,large,light
24_38,stand_large_light,4,24,38,stand,large,light
24_40,stand_large_light,2,24,40,stand,large,light
24_42,stand_large_light,0,24,42,stand,large,light
24_43,stand_large_light,0,24,43,stand,large,light
24_44,stand_large_light,1,24,44,stand,large,light
24_45,stand_large_light,0,24,45,stand,large,light
24_46,stand_large_light,0,24,46,stand,large,light
24_51,stand_large_light,0,24,51,stand,large,light
12_01,stand_large_moderate,0,12,1,stand,large,moderate
12_02,stand_large_moderate,0,12,2,stand,large,moderate
12_03,stand_large_moderate,0,12,3,stand,large,moderate
12_05,stand_large_moderate,0,12,5,stand,large,moderate
12_07,stand_large_moderate,0,12,7,stand,large,moderate
12_08,stand_large_moderate,0,12,8,stand,large,moderate
12_09,stand_large_moderate,0,12,9,stand,large,moderate
12_10,stand_large_moderate,0,12,10,stand,large,moderate
12_11,stand_large_moderate,0,12,11,stand,large,moderate
12_12,stand_large_moderate,0,12,12,stand,large,moderate
12_13,stand_large_moderate,0,12,13,stand,large,moderate
12_14,stand_large_moderate,0,12,14,stand,large,moderate
12_15,stand_large_moderate,0,12,15,stand,large,moderate
12_16,stand_large_moderate,0,12,16,stand,large,moderate
12_17,stand_large_moderate,0,12,17,stand,large,moderate
12_18,stand_large_moderate,0,12,18,stand,large,moderate
12_20,stand_large_moderate,0,12,20,stand,large,moderate
12_21,stand_large_moderate,0,12,21,stand,large,moderate
12_22,stand_large_moderate,0,12,22,stand,large,moderate
12_23,stand_large_moderate,0,12,23,stand,large,moderate
12_25,stand_large_moderate,0,12,25,stand,large,moderate
12_26,stand_large_moderate,0,12,26,stand,large,moderate
12_27,stand_large_moderate,0,12,27,stand,large,moderate
12_29,stand_large_moderate,0,12,29,stand,large,moderate
12_30,stand_large_moderate,0,12,30,stand,large,moderate
12_31,stand_large_moderate,0,12,31,stand,large,moderate
12_32,stand_large_moderate,0,12,32,stand,large,moderate
12_33,stand_large_moderate,0,12,33,stand,large,moderate
12_34,stand_large_moderate,0,12,34,stand,large,moderate
12_35,stand_large_moderate,0,12,35,stand,large,moderate
12_36,stand_large_moderate,0,12,36,stand,large,moderate
12_37,stand_large_moderate,0,12,37,stand,large,moderate
12_38,stand_large_moderate,0,12,38,stand,large,moderate
12_39,stand_large_moderate,0,12,39,stand,large,moderate
24_01,stand_large_moderate,0,24,1,stand,large,moderate
24_02,stand_large_moderate,0,24,2,stand,large,moderate
24_04,stand_large_moderate,0,24,4,stand,large,moderate
24_05,stand_large_moderate,0,24,5,stand,large,moderate
24_07,stand_large_moderate,0,24,7,stand,large,moderate
24_09,stand_large_moderate,0,24,9,stand,large,moderate
24_10,stand_large_moderate,0,24,10,stand,large,moderate
24_11,stand_large_moderate,0,24,11,stand,large,moderate
24_12,stand_large_moderate,1,24,12,stand,large,moderate
24_13,stand_large_moderate,0,24,13,stand,large,moderate
24_14,stand_large_moderate,0,24,14,stand,large,moderate
24_16,stand_large_moderate,0,24,16,stand,large,moderate
24_17,stand_large_moderate,0,24,17,stand,large,moderate
24_18,stand_large_moderate,0,24,18,stand,large,moderate
24_23,stand_large_moderate,0,24,23,stand,large,moderate
24_24,stand_large_moderate,0,24,24,stand,large,moderate
24_27,stand_large_moderate,1,24,27,stand,large,moderate
24_29,stand_large_moderate,0,24,29,stand,large,moderate
24_30,stand_large_moderate,0,24,30,stand,large,moderate
24_31,stand_large_moderate,0,24,31,stand,large,moderate
24_32,stand_large_moderate,0,24,32,stand,large,moderate
